Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
115;115;2019-01-01T11:01:55.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;5,0;47,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
116;116;2019-01-01T11:01:56.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;6,0;46,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
117;117;2019-01-01T11:01:57.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;7,0;45,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
118;118;2019-01-01T11:01:58.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;8,0;44,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
119;119;2019-01-01T11:01:59.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;9,0;43,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
120;120;2019-01-01T11:02:00.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;10,0;42,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
121;121;2019-01-01T11:02:01.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;11,0;41,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
122;122;2019-01-01T11:02:02.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;12,0;40,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
123;123;2019-01-01T11:02:03.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;13,0;39,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
124;124;2019-01-01T11:02:04.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;14,0;38,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
